book_id,book_title,chapter_id,chapter_title,paragraph_id,paragraph_text,tokenized
2,The Hunter's Lodge Case,1,*       *       *       *       *,1,"It was about three o’clock when we arrived at the little station of Elmer’s Dale. From there a five-mile drive brought us to a small gray stone building in the midst of the rugged moors. “A lonely place,” I observed. Havering nodded. “I","['It', 'three', 'o’clock', 'arrived', 'little', 'station', 'Elmer', '’s', 'Dale', 'From', 'five', 'mile', 'drive', 'brought', 'us', 'small', 'gray', 'stone', 'building', 'midst', 'rugged', 'moors', 'A', 'lonely', 'place', 'I', 'observed', 'Havering', 'nodded', 'I']"
2,The Hunter's Lodge Case,1,*       *       *       *       *,2,shall try and get rid of it. I could never live here again.” We unlatched the gate and were walking up the narrow path to the oak door when a familiar figure emerged and came to meet us. “Japp!” I ejaculated. The Scotland,"['shall', 'try', 'get', 'rid', 'I', 'could', 'never', 'live', 'We', 'unlatched', 'gate', 'walking', 'narrow', 'path', 'oak', 'door', 'familiar', 'figure', 'emerged', 'came', 'meet', 'us', 'Japp', 'I', 'ejaculated', 'The', 'Scotland']"
2,The Hunter's Lodge Case,1,*       *       *       *       *,3,"Yard Inspector grinned at me in a friendly fashion before addressing my companion. “Mr. Havering, I think? I’ve been sent down from London to take charge of this case, and I’d like a word with you, if I may, sir.” “My wife——” “I’ve","['Yard', 'Inspector', 'grinned', 'friendly', 'fashion', 'addressing', 'companion', 'Mr.', 'Havering', 'I', 'think', 'I', '’ve', 'sent', 'London', 'take', 'charge', 'case', 'I', '’d', 'like', 'word', 'I', 'may', 'sir', 'My', 'wife', 'I', '’ve']"
2,The Hunter's Lodge Case,1,*       *       *       *       *,4,"seen your good lady, sir—and the housekeeper. I wont keep you a moment, but I’m anxious to get back to the village now that I’ve seen all there is to see here.” “I know nothing as yet as to what—” “Ex-actly,” said Japp","['seen', 'good', 'lady', 'sir', 'housekeeper', 'I', 'wo', 'nt', 'keep', 'moment', 'I', '’m', 'anxious', 'get', 'back', 'village', 'I', '’ve', 'seen', 'see', 'I', 'know', 'nothing', 'yet', 'Ex', 'actly', 'said', 'Japp']"
2,The Hunter's Lodge Case,1,*       *       *       *       *,5,"soothingly. “But there are just one or two little points I’d like your opinion about all the same. Captain Hastings, here, he knows me, and he’ll go on up to the house and tell them you’re coming.” I went on to the house.","['soothingly', 'But', 'one', 'two', 'little', 'points', 'I', '’d', 'like', 'opinion', 'Captain', 'Hastings', 'knows', '’ll', 'go', 'house', 'tell', '’re', 'coming', 'I', 'went', 'house']"
2,The Hunter's Lodge Case,1,*       *       *       *       *,6,"I rang the bell, as Japp had closed the door behind him. After some moments it was opened to me by a middle-aged woman in black. “Mr. Havering will be here in a moment,” I explained. “He has been detained by the Inspector.","['I', 'rang', 'bell', 'Japp', 'closed', 'door', 'behind', 'After', 'moments', 'opened', 'middle', 'aged', 'woman', 'black', 'Mr.', 'Havering', 'moment', 'I', 'explained', 'He', 'detained', 'Inspector']"
2,The Hunter's Lodge Case,1,*       *       *       *       *,7,"I have come down with him from London to look into the case. Perhaps you can tell me briefly what occurred last night?” “Come inside, sir.” She closed the door behind me, and we stood in the dimly lighted hall. “It was after","['I', 'come', 'London', 'look', 'case', 'Perhaps', 'tell', 'briefly', 'occurred', 'last', 'night', 'Come', 'inside', 'sir', 'She', 'closed', 'door', 'behind', 'stood', 'dimly', 'lighted', 'hall', 'It']"
2,The Hunter's Lodge Case,1,*       *       *       *       *,8,"dinner last night, sir, that the man came. He asked to see Mr. Pace, sir, and seeing that he spoke the same way, I thought it was an American gentleman friend of Mr. Pace’s, and I showed him into the gun-room, and then","['dinner', 'last', 'night', 'sir', 'man', 'came', 'He', 'asked', 'see', 'Mr.', 'Pace', 'sir', 'seeing', 'spoke', 'way', 'I', 'thought', 'American', 'gentleman', 'friend', 'Mr.', 'Pace', '’s', 'I', 'showed', 'gun', 'room']"
2,The Hunter's Lodge Case,1,*       *       *       *       *,9,"went to tell Mr. Pace. He wouldn’t give no name, which of course was a bit odd, now I come to think of it. “I told Mr. Pace, and he seemed puzzled, like, but he said to the mistress: ‘Excuse me, Zoe, while","['went', 'tell', 'Mr.', 'Pace', 'He', 'would', 'n’t', 'give', 'name', 'course', 'bit', 'odd', 'I', 'come', 'think', 'I', 'told', 'Mr.', 'Pace', 'seemed', 'puzzled', 'like', 'said', 'mistress', 'Excuse', 'Zoe']"
2,The Hunter's Lodge Case,1,*       *       *       *       *,10,"I just see what this fellow wants.’ He went off to the gun-room, and I went back to the kitchen, but after a while I heard loud voices, as if they were quarreling, and I came out into the hall. At the","['I', 'see', 'fellow', 'wants', 'He', 'went', 'gun', 'room', 'I', 'went', 'back', 'kitchen', 'I', 'heard', 'loud', 'voices', 'quarreling', 'I', 'came', 'hall', 'At']"
