book_id,book_title,chapter_id,chapter_title,paragraph_id,paragraph_text
2,The Hunter's Lodge Case,1,*       *       *       *       *,1,"It was about three o’clock when we arrived at the little station of Elmer’s Dale. From there a five-mile drive brought us to a small gray stone building in the midst of the rugged moors. “A lonely place,” I observed. Havering nodded. “I shall try and get rid of it. I could never live here again.” We unlatched the gate and were walking up"
2,The Hunter's Lodge Case,1,*       *       *       *       *,2,"the narrow path to the oak door when a familiar figure emerged and came to meet us. “Japp!” I ejaculated. The Scotland Yard Inspector grinned at me in a friendly fashion before addressing my companion. “Mr. Havering, I think? I’ve been sent down from London to take charge of this case, and I’d like a word with you, if I may, sir.” “My wife——”"
2,The Hunter's Lodge Case,1,*       *       *       *       *,3,"“I’ve seen your good lady, sir—and the housekeeper. I wont keep you a moment, but I’m anxious to get back to the village now that I’ve seen all there is to see here.” “I know nothing as yet as to what—” “Ex-actly,” said Japp soothingly. “But there are just one or two little points I’d like your opinion about all the same. Captain Hastings,"
2,The Hunter's Lodge Case,1,*       *       *       *       *,4,"here, he knows me, and he’ll go on up to the house and tell them you’re coming.” I went on to the house. I rang the bell, as Japp had closed the door behind him. After some moments it was opened to me by a middle-aged woman in black. “Mr. Havering will be here in a moment,” I explained. “He has been detained by"
2,The Hunter's Lodge Case,1,*       *       *       *       *,5,"the Inspector. I have come down with him from London to look into the case. Perhaps you can tell me briefly what occurred last night?” “Come inside, sir.” She closed the door behind me, and we stood in the dimly lighted hall. “It was after dinner last night, sir, that the man came. He asked to see Mr. Pace, sir, and seeing that he"
2,The Hunter's Lodge Case,1,*       *       *       *       *,6,"spoke the same way, I thought it was an American gentleman friend of Mr. Pace’s, and I showed him into the gun-room, and then went to tell Mr. Pace. He wouldn’t give no name, which of course was a bit odd, now I come to think of it. “I told Mr. Pace, and he seemed puzzled, like, but he said to the mistress: ‘Excuse"
2,The Hunter's Lodge Case,1,*       *       *       *       *,7,"me, Zoe, while I just see what this fellow wants.’ He went off to the gun-room, and I went back to the kitchen, but after a while I heard loud voices, as if they were quarreling, and I came out into the hall. At the same time, the mistress she comes out too, and just then there was a shot and then a dreadful"
2,The Hunter's Lodge Case,1,*       *       *       *       *,8,"silence. We both ran to the gun-room door, but it was locked, and we had to go round to the window. It was open, and there inside was Mr. Pace, all shot and bleeding.” “What became of the man?” “He must have got away through the window, sir, before we got to it.” “And then?” “Mrs. Havering sent me to fetch the police. Five"
2,The Hunter's Lodge Case,1,*       *       *       *       *,9,"miles to walk, it was. They came back with me; and the constable, he stayed all night; and this morning the police gentleman from London arrived.” “What was this man like who called to see Mr. Pace?” The housekeeper reflected. “He had a black beard, sir, and was about middle-aged, and had on a light overcoat. Beyond the fact that he spoke like an"
2,The Hunter's Lodge Case,1,*       *       *       *       *,10,"American, I didn’t notice much about him.” “I see. Now, I wonder if I can see Mrs. Havering?” “She’s upstairs, sir. Shall I tell her?” “If you please. Tell her that Mr. Havering is outside with Inspector Japp, and that the gentleman he has brought back with him from London is anxious to speak to her as soon as possible.” “Very good, sir.”"
2,The Hunter's Lodge Case,2,*       *       *       *       *,1,"I was in a fever of impatience to get at all the facts. Japp had two or three hours start of me, and his anxiety to be gone made me keen to be close at his heels. Mrs. Havering did not keep me"
2,The Hunter's Lodge Case,2,*       *       *       *       *,2,"waiting long. In a few minutes I heard a light step descending the stairs, and looked up to see a very handsome young woman coming toward me. She wore a flame-colored jumper, that set off the slender boyishness of her figure. On her"
2,The Hunter's Lodge Case,2,*       *       *       *       *,3,"dark head was a little hat of flame-colored leather. Even the present tragedy could not dim the vitality of her personality. I introduced myself, and she nodded in quick comprehension. “Of course I have often heard of you and your colleague, M. Poirot."
2,The Hunter's Lodge Case,2,*       *       *       *       *,4,"You have done some wonderful things together, haven’t you? It was very clever of my husband to get you so promptly. Now, will you ask me questions? That is the easiest way, isn’t it, of getting to know all you want to about"
2,The Hunter's Lodge Case,2,*       *       *       *       *,5,"this dreadful affair?” “Thank you, Mrs. Havering. Now, what time was it that this man arrived?” “It must have been just before nine o’clock. We had finished dinner, and were sitting over our coffee and cigarettes.” “Your husband had already left for London?”"
2,The Hunter's Lodge Case,2,*       *       *       *       *,6,"“Yes, he went up by the six-fifteen.” “Did he go by car to the station, or did he walk?” “Our own car isn’t down here. One came out from the garage in Elmer’s Dale to fetch him in time for the train.”"
2,The Hunter's Lodge Case,2,*       *       *       *       *,7,"“Was Mr. Pace quite his usual self?” “Absolutely—most normal in every way.” “Now, can you describe this visitor at all?” “I’m afraid not. I didn’t see him. Mrs. Middleton showed him straight into the gun-room and then came to tell my uncle.”"
2,The Hunter's Lodge Case,2,*       *       *       *       *,8,"“What did your uncle say?” “He seemed rather annoyed, but went off at once. It was about five minutes later that I heard the sound of raised voices. I ran out into the hall, and almost collided with Mrs. Middleton. Then we"
2,The Hunter's Lodge Case,2,*       *       *       *       *,9,"heard the shot. The gun-room door was locked on the inside, and we had to go round the house to the window. Of course that took some time, and the murderer had been able to get well away. My poor uncle”—her voice"
2,The Hunter's Lodge Case,2,*       *       *       *       *,10,"faltered—“had been shot through the head. I saw at once that he was dead, and I sent Mrs. Middleton for the police straight away. I was careful to touch nothing in the room but to leave it exactly as I found it.”"
2,The Hunter's Lodge Case,3,*       *       *       *       *,1,"I nodded approval. “Now, as to the weapon?” “Well, I can make a guess at it, Captain Hastings. A pair of revolvers of my husband’s were mounted"
2,The Hunter's Lodge Case,3,*       *       *       *       *,2,"upon the wall. One of them is missing. I pointed this out to the police, and they took the other one away with them. When they have"
2,The Hunter's Lodge Case,3,*       *       *       *       *,3,"extracted the bullet, I suppose they will know for certain.” “May I go to the gun-room?” “Certainly. The police have finished with it. But the body"
2,The Hunter's Lodge Case,3,*       *       *       *       *,4,"has been removed.” She accompanied me to the scene of the crime. At that moment Havering entered the hall, and with a quick apology, his wife"
2,The Hunter's Lodge Case,3,*       *       *       *       *,5,"ran to him. I was left to undertake my investigations alone. I may as well confess at once that they were rather disappointing. In detective-novels, clues"
2,The Hunter's Lodge Case,3,*       *       *       *       *,6,"abound, but here I could find nothing that struck me as out of the ordinary except a large bloodstain on the carpet where I judged the"
2,The Hunter's Lodge Case,3,*       *       *       *       *,7,"dead man had fallen. I examined everything with painstaking care and took a couple of pictures of the room with my little camera, which I had"
2,The Hunter's Lodge Case,3,*       *       *       *       *,8,"brought with me. I also examined the ground outside the window, but it appeared to have been so heavily trampled that I judged it was useless"
2,The Hunter's Lodge Case,3,*       *       *       *       *,9,to waste time over it. Now I had seen all that Hunter’s Lodge had to show me. I must go back to Elmer’s Dale and get
2,The Hunter's Lodge Case,3,*       *       *       *       *,10,"into touch with Japp. Accordingly I took leave of the Haverings, and was driven off in the car that had brought us up from the station."
2,The Hunter's Lodge Case,4,*       *       *       *       *,1,"Japp I found at the Matlock Arms, and he took me forthwith to see the body. Harrington Pace was a small, spare, cleanshaven man, typically American in appearance. He had been shot through the back of the"
2,The Hunter's Lodge Case,4,*       *       *       *       *,2,"head, and the revolver had been discharged at close quarters. “Turned away for a moment,” remarked Japp, “and the other fellow snatched up a revolver and shot him. The one Mrs. Havering handed over to us was"
2,The Hunter's Lodge Case,4,*       *       *       *       *,3,"fully loaded, and I suppose the other one was also. Curious what darn fool things people do. Fancy keeping two loaded revolvers hanging up on your wall!” “What do you think of the case?” I asked as"
2,The Hunter's Lodge Case,4,*       *       *       *       *,4,"we left the gruesome chamber behind us. “Well, I’d got my eye on Havering to begin with.... Oh, yes,”—noting my exclamation of astonishment,—“Havering has one or two shady incidents in his past. When he was a boy"
2,The Hunter's Lodge Case,4,*       *       *       *       *,5,"at Oxford, there was some funny business about the signature on one of his father’s checks. All hushed up, of course. Then he’s pretty heavily in debt now, and they’re the kind of debts he wouldn’t like"
2,The Hunter's Lodge Case,4,*       *       *       *       *,6,"to go to his uncle about; whereas you may be sure the uncle’s will would be in his favor. Yes, I’d got my eye on him, and that’s why I wanted to speak to him before he"
2,The Hunter's Lodge Case,4,*       *       *       *       *,7,"saw his wife; but their statements dovetail all right, and I’ve been to the station, and there’s no doubt whatever that he left by the six-fifteen. That gets up to London about ten-thirty. He went straight to"
2,The Hunter's Lodge Case,4,*       *       *       *       *,8,"his club, he says, and if that’s confirmed all right—why, he couldn’t have been shooting his uncle here at nine o’clock in a black beard!” “Ah, yes—I was going to ask you what you thought about"
2,The Hunter's Lodge Case,4,*       *       *       *       *,9,"that beard?” Japp winked. “I think it grew pretty fast—grew in the five miles from Elmer’s Dale to Hunter’s Lodge. Americans that I’ve met are mostly clean shaven. I questioned the housekeeper first, and then her"
2,The Hunter's Lodge Case,4,*       *       *       *       *,10,"mistress, and their stories agree all right; but I’m sorry Mrs. Havering didn’t get a look at the fellow. She’s a smart woman, and she might have noticed something that would set us on the track.”"
2,The Hunter's Lodge Case,5,*       *       *       *       *,1,I sat down and wrote a minute and lengthy account to Poirot. I was able to add various further items of information before I posted the letter. The bullet had been extracted and was proved to have been fired from a revolver identical
2,The Hunter's Lodge Case,5,*       *       *       *       *,2,"in size to the one held by the police. Furthermore, Mr. Havering’s movements on the night in question had been checked and verified, and it was proved beyond doubt that he had actually arrived in London by the train in question. And thirdly,"
2,The Hunter's Lodge Case,5,*       *       *       *       *,3,"a sensational development had occurred. A city gentleman, living at Ealing, on crossing Haven Green to get to the District Railway station that morning, had observed a brown paper parcel stuck between the railings. Opening it, he found that it contained a revolver."
2,The Hunter's Lodge Case,5,*       *       *       *       *,4,"He handed the parcel over to the local police station, and before night it was proved to be the one we were in search of, the fellow to that given us by Mrs. Havering. One bullet had been fired from it. All this"
